MOOTMISE_AEG;MOODETUD_TUHIKAIK_PM;MOODETUD_POORETEL_PM;MOODETUD_TUHIKAIK_CO;MOODETUD_POORETEL_CO;MOODETUD_POORETEL_CO_CORR;MOODETUD_TUHIKAIK_HC;MOODETUD_POORETEL_HC;MOODETUD_TUHIKAIK_CO2;MOODETUD_POORETEL_CO2;MOODETUD_TUHIKAIK_O2;MOODETUD_POORETEL_O2;MOODETUD_POORETEL_LAMBDA;MOODETUD_SUITSUSUS;POORETE_TOSTMISE_AEG;TYHIKAIGU_POORDED;MAX_POORDED
06.08.2018 12:56:00;750;2610;0,04;0,04;;44;59;1,44;1,47;0,89;0,04;0,998;;;;
06.08.2018 12:58:00;633;2643;0,01;0,02;;9;8;1,52;1,54;0,45;0,15;1,005;;;;
06.08.2018 13:22:00;;;;;;;;;;;;;0,02;1,82;770;4330
06.08.2018 13:24:00;;;;;;;;;;;;;1,22;2,27;700;4650
06.08.2018 14:54:00;;;;;;;;;;;;;0,69;1,36;880;5080
06.08.2018 15:00:00;;;;;;;;;;;;;2,02;1,94;680;5090
06.08.2018 15:10:00;770;2820;0,19;0,36;;112;52;1,2;1,37;3,41;1,69;1,07;;;;
06.08.2018 15:18:00;803;2880;0,01;0,01;;5;2;1,49;1,51;0,38;0,12;1,005;;;;
06.08.2018 15:41:00;;;;;;;;;;;;;1,23;1,41;830;5090
06.08.2018 15:53:00;;;;;;;;;;;;;0,55;1,05;840;3790
06.08.2018 16:20:00;780;2810;0,04;0,07;;0;0;1,51;1,51;0,15;0,11;1,003;;;;
06.08.2018 16:23:00;750;2800;0,06;0,2;;78;40;0,8;0,99;10,17;7,5;1,511;;;;
06.08.2018 16:34:00;844;2393;0,02;0,02;;10;8;1,53;1,55;0,22;0,04;1,001;;;;
06.08.2018 16:38:00;512;2464;0,01;0,01;;12;8;1,53;1,51;0,45;0,25;1,011;;;;
06.08.2018 16:48:00;;;;;;;;;;;;;6,42;1,32;900;4920
06.08.2018 16:48:00;;;;;;;;;;;;;9,99;0,97;600;4490
06.08.2018 16:48:00;;;;;;;;;;;;;4,76;1,21;900;4880
06.08.2018 16:52:00;;;;;;;;;;;;;0,11;1,12;780;3960
06.08.2018 17:05:00;780;2710;0,01;0,04;;9;24;1,54;1,54;0,01;0,1;1,002;;;;
06.08.2018 17:13:00;700;2830;0,02;0,01;;6;6;1,51;1,51;0,28;0,29;1,012;;;;
06.08.2018 17:20:00;870;2800;0,01;0,01;;8;8;1,49;1,5;0,37;0,3;1,013;;;;
06.08.2018 17:29:00;;;;;;;;;;;;;0,01;0,78;780;2560
06.08.2018 17:31:00;680;2830;0,59;0,77;;80;91;1,39;1,44;1,44;0,58;1;;;;
06.08.2018 17:36:00;710;2830;0,02;0,02;;6;10;1,54;1,57;0,17;0,06;1,001;;;;
06.08.2018 17:44:00;750;2260;0,03;0,06;;58;21;1,55;1,55;0,09;0,04;0,999;;;;
06.08.2018 17:45:00;;;;;;;;;;;;;1,14;1,4;750;4840
06.08.2018 17:59:00;780;2710;0,01;0,03;;20;26;1,15;1,18;0,56;0,24;1,012;;;;
06.08.2018 18:11:00;660;2510;0,09;0,13;;84;87;1,51;1,53;0,77;0,21;1,002;;;;
06.08.2018 18:44:00;790;2470;0,02;0,02;;9;9;1,54;1,55;0,6;0,09;1,003;;;;
06.08.2018 19:01:00;;;;;;;;;;;;;0,6;1,62;680;4410
06.08.2018 19:42:00;720;2140;0,02;0,02;;6;6;1,53;1,55;0,34;0,44;1,019;;;;
06.08.2018 20:00:00;700;2753;0,09;0,13;;31;14;1,55;1,55;0,1;0,02;0,996;;;;
06.08.2018 20:12:00;1024;2720;0,01;0,01;;6;7;1,56;1,57;0,45;0,53;1,023;;;;
06.08.2018 20:56:00;760;2260;0,03;0,03;;11;12;1,52;1,55;0,78;0,07;1,001;;;;
07.08.2018 9:05:00;744;2481;0,01;0,01;;1;1;1,44;1,47;1,2;0,53;1,024;;;;
07.08.2018 9:10:00;830;2770;0,01;0,01;;2;4;1,53;1,44;0,14;0,45;1,021;;;;
07.08.2018 9:36:00;800;2540;0,23;0,19;;7;9;1,5;1,5;0,62;0,25;1,005;;;;
07.08.2018 9:43:00;709;2110;0,01;0,01;;2;1;1,45;1,51;5,01;0,4;1,018;;;;
07.08.2018 10:02:00;820;2440;0,02;0,01;;0;0;1,49;1,52;0,46;0,07;1,002;;;;
07.08.2018 10:03:00;711;2318;0,02;0,01;;10;13;1,52;1,54;0,72;0,3;1,012;;;;
07.08.2018 10:09:00;;;;;;;;;;;;;0,01;1,46;700;4980
